k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,num
3,8,19,0,3,0,14,2,0,0,0,0,0,1
1,1,19,0,3,2,18,1,8,1,0,0,0,0
1,1,19,0,7,0,10,1,0,0,0,0,0,3
1,1,19,0,10,0,12,2,0,1,0,0,0,1
1,2,0,0,14,0,16,1,0,1,0,0,0,6
3,7,0,0,10,2,16,2,0,1,0,0,0,3
3,6,0,1,14,4,15,3,15,1,0,0,0,3
3,10,36,0,26,0,17,3,0,1,0,0,0,0
7,20,37,0,3,2,17,4,8,0,0,0,0,0
7,18,19,0,3,6,13,4,23,1,0,0,0,3
14,27,0,0,7,4,13,4,37,0,0,0,0,2
15,41,0,1,10,2,20,5,44,1,0,0,0,0
27,59,37,2,3,8,25,7,60,0,0,0,0,0
24,46,0,1,3,27,23,13,92,1,0,4,0,1
28,51,0,4,7,23,16,19,100,1,0,0,0,0
19,43,38,3,10,49,21,20,15,0,0,0,0,0
19,36,0,3,7,22,13,17,39,1,0,0,0,2
15,29,0,2,10,27,14,15,15,0,0,0,0,1
14,29,0,1,10,16,22,17,43,1,0,0,0,4
14,23,0,4,14,31,22,14,8,0,0,4,0,8
16,28,39,4,21,40,27,15,24,0,0,7,0,12
11,17,19,4,10,20,23,12,39,1,0,4,0,6
27,56,0,3,14,16,19,11,0,0,0,0,0,7
23,65,0,2,10,25,17,11,0,0,0,0,0,8
17,39,38,3,7,16,12,9,31,0,0,0,0,10
17,33,56,4,0,10,19,9,23,1,0,0,0,10
15,32,19,10,3,11,19,9,0,1,0,0,26,15
19,36,37,8,17,13,13,8,7,1,0,4,21,26
36,79,0,16,10,15,17,8,30,1,0,0,32,12
36,72,0,9,7,27,21,8,8,1,0,0,32,13
29,47,0,4,10,13,16,8,38,1,0,7,38,11
23,46,18,4,10,18,13,8,15,1,0,14,10,18
25,44,18,6,13,21,31,11,30,1,0,4,48,25
23,30,37,5,20,28,22,12,30,0,0,0,27,19
23,33,0,6,0,35,17,12,15,0,0,0,27,9
29,42,0,8,17,28,25,13,30,1,0,11,27,14
37,57,56,8,7,38,38,14,53,0,0,7,38,18
37,67,0,10,10,38,21,13,52,1,0,7,16,19
39,64,0,11,20,34,13,13,30,1,0,7,16,36
50,78,73,15,3,43,17,17,44,0,0,10,42,32
58,80,18,27,10,100,27,21,37,1,0,24,10,56
59,84,18,30,7,80,27,25,37,1,0,17,36,44
66,87,37,23,10,60,25,28,22,1,0,11,43,33
64,91,19,27,10,58,26,30,61,1,0,33,32,28
65,81,18,27,0,62,16,26,30,1,0,4,53,59
58,64,37,12,7,30,14,23,30,1,0,25,47,53
51,55,54,22,3,29,14,20,44,0,0,31,31,56
46,55,0,15,10,35,25,22,15,0,0,21,36,34
44,51,0,20,13,41,11,23,14,1,0,27,15,63
41,43,0,20,13,23,16,26,57,1,0,13,87,31
39,42,54,21,7,48,14,23,7,1,0,21,21,17
38,42,54,15,7,22,14,23,22,0,0,14,16,45
42,55,18,10,13,23,10,20,21,1,49,20,15,41
39,51,0,19,3,39,44,21,14,1,0,56,55,40
33,42,51,15,6,38,20,23,34,0,0,36,24,54
27,39,0,19,0,32,23,22,36,1,0,24,15,39
34,48,0,17,16,25,20,21,21,1,0,20,41,48
35,44,18,12,0,37,24,20,7,1,0,27,35,39
30,40,36,13,13,22,11,22,37,1,51,14,36,72
31,38,18,15,0,15,14,24,37,1,0,14,16,96
29,33,0,19,6,23,17,21,35,1,0,17,40,93
26,34,18,20,6,15,19,21,22,1,0,17,77,123
22,31,0,16,6,15,23,20,29,3,0,10,41,202
26,37,0,12,6,18,18,19,7,3,0,10,46,173
21,30,0,10,10,18,13,18,7,3,0,14,21,93
22,30,36,6,10,17,16,17,30,2,0,7,52,241
28,37,0,10,13,16,17,16,7,3,50,0,46,268
25,37,17,16,12,14,14,18,14,2,0,3,79,279
31,38,0,13,23,9,25,27,7,4,0,10,67,357
45,49,18,15,19,20,19,24,44,4,0,34,69,369
62,63,0,26,79,21,21,24,15,3,0,21,79,359
63,63,52,21,78,28,35,27,77,2,0,33,61,244
54,63,18,20,42,18,33,26,87,3,0,24,46,368
58,62,52,19,25,14,22,25,36,2,0,20,66,527
100,100,51,34,56,23,21,27,97,3,0,62,75,578
90,81,0,26,43,26,34,32,77,2,0,36,50,644
93,88,51,43,50,17,39,42,42,2,0,66,55,720
89,85,0,47,31,43,38,51,42,2,0,43,60,507
80,74,17,50,72,26,37,46,84,8,0,56,69,303
90,78,0,32,87,60,47,48,93,4,0,61,81,480
78,85,69,34,100,42,57,46,35,4,0,46,75,549
87,77,34,62,86,50,39,44,48,6,0,74,92,576
80,70,100,43,73,48,46,47,27,8,47,58,100,560
76,72,34,55,93,68,37,44,76,6,0,39,88,588
79,64,51,59,49,54,36,45,41,5,0,98,78,376
77,45,17,44,55,50,79,45,48,9,0,55,64,346
74,43,0,37,49,35,61,44,27,6,0,42,45,390
77,41,17,58,45,42,54,41,61,4,0,57,48,441
67,33,33,57,50,45,45,38,33,8,0,56,67,435
62,31,67,50,61,29,36,39,96,9,0,91,39,441
68,27,50,59,54,59,37,40,40,10,0,48,34,382
58,22,16,84,76,46,35,40,52,19,0,52,42,220
53,21,0,65,35,39,37,38,45,19,0,40,42,174
43,25,16,39,61,36,50,39,52,10,0,15,23,282
50,36,17,44,51,29,37,39,67,9,0,54,61,223
49,30,31,52,37,37,86,68,32,17,44,36,54,201
43,25,0,45,66,24,76,100,45,15,0,30,65,266
44,27,16,52,21,25,75,59,33,14,0,53,38,300
49,29,0,56,31,35,83,48,75,13,0,48,36,203
44,26,16,45,33,50,100,40,47,11,0,47,33,176
42,17,33,35,33,51,64,35,61,13,0,19,29,120
38,16,16,49,44,28,57,47,46,13,0,22,38,104
34,12,16,62,23,26,49,88,38,24,0,24,41,96
29,17,32,56,32,31,48,44,19,37,0,37,37,88
36,13,33,40,21,39,31,35,13,26,0,9,42,114
33,15,29,51,21,21,53,29,60,44,0,14,38,69
22,11,0,35,31,23,59,28,19,100,0,12,41,45
20,12,32,41,38,18,57,25,39,56,0,9,5,80
17,8,0,34,38,20,98,32,46,46,0,22,33,55
18,9,15,43,36,17,51,24,25,45,0,9,9,100
22,10,0,45,41,20,49,21,67,38,0,6,44,50
17,9,15,48,30,11,39,22,18,40,0,17,17,57
19,10,0,49,31,16,54,23,32,69,0,6,46,26
17,7,31,59,26,19,51,22,19,77,0,6,23,31
16,8,0,29,17,20,50,20,26,48,0,12,5,27
16,6,16,50,29,18,40,19,20,42,0,3,42,38
12,8,16,40,17,21,52,22,19,61,44,18,42,38
12,7,16,39,15,21,49,24,26,61,0,12,42,25
12,5,16,32,21,23,73,22,7,56,0,25,33,26
12,5,16,30,23,33,47,22,19,48,0,15,60,42
12,5,0,23,17,21,72,20,19,45,0,15,55,21
8,5,16,19,17,13,46,18,39,34,0,3,9,29
10,5,0,19,9,20,36,20,13,30,0,3,33,35
8,5,0,21,15,15,46,19,26,45,0,9,32,63
7,4,0,17,11,31,44,18,45,54,0,3,23,73
8,3,0,17,6,15,33,18,20,50,0,0,24,45
7,3,49,17,15,22,52,18,40,45,0,9,43,35
7,2,0,13,15,30,53,19,53,44,0,9,19,37
6,3,33,9,15,12,24,18,20,37,0,0,19,51
7,5,0,16,15,12,24,18,13,38,46,6,14,30
5,4,0,16,12,18,43,17,19,50,0,6,37,47
5,4,0,16,14,16,44,18,26,61,0,3,28,44
6,2,0,15,18,13,42,21,40,57,0,13,14,46
8,4,16,13,6,18,46,26,40,56,0,0,24,38
7,6,0,22,24,31,46,24,20,49,0,19,19,21
7,3,17,14,15,10,26,20,41,40,0,3,5,45
9,7,17,10,18,20,28,18,13,35,0,3,24,38
9,3,0,22,15,24,57,17,14,51,0,19,19,42
12,7,0,27,21,26,46,19,27,55,0,13,15,61
11,6,33,24,18,15,77,22,46,50,0,9,10,45
8,5,0,26,12,23,71,22,27,43,0,13,9,75
8,5,0,18,12,20,36,21,27,42,0,0,43,72
6,3,0,12,9,16,24,19,7,29,0,6,25,44
9,3,17,18,12,10,37,18,41,31,0,7,15,46
8,4,17,27,27,10,46,19,20,50,0,10,38,70
8,3,16,17,20,19,51,20,13,42,0,3,14,58
9,4,17,11,12,14,59,20,20,37,0,10,20,64
7,5,0,20,21,5,56,17,27,38,0,6,10,55
5,3,17,14,12,16,34,17,48,38,0,3,29,43
4,3,17,5,15,3,31,16,20,24,0,10,15,57
9,3,0,14,6,5,31,15,7,23,0,3,25,96
10,2,0,19,9,20,51,26,7,37,0,3,25,82
6,4,17,16,6,5,94,23,14,37,0,3,10,105
5,4,0,18,16,9,60,20,14,34,0,10,15,92
6,3,34,14,12,14,60,33,14,33,0,3,20,113
4,4,0,13,18,16,46,63,0,28,0,10,25,110
5,3,18,9,16,9,31,23,0,22,0,17,10,138
5,5,0,9,22,13,23,18,14,21,0,10,20,127
7,2,0,14,29,18,40,19,7,32,0,7,35,194
10,3,0,16,3,11,32,18,14,31,0,13,25,250
9,5,0,17,19,18,49,16,42,30,48,17,25,274
9,5,0,14,22,19,37,16,0,28,0,7,0,208
8,1,0,17,10,7,43,17,29,27,0,17,25,176
9,2,0,11,13,5,27,15,21,17,0,10,5,208
9,3,17,13,12,16,24,15,27,19,0,13,19,207
9,4,0,25,6,11,31,16,21,25,0,17,10,355
8,5,0,16,19,4,38,16,14,25,0,17,10,430
10,6,35,20,3,14,34,17,7,22,0,10,10,386
12,6,0,36,13,7,36,21,28,22,0,3,0,407
11,6,17,35,25,11,39,17,21,17,0,23,25,259
11,5,0,24,16,12,35,15,35,13,0,13,10,333
12,7,52,27,22,5,23,14,21,12,0,23,15,450
12,7,17,31,18,2,38,13,27,20,0,29,43,624
10,4,0,34,3,10,36,13,0,16,0,10,14,597
9,3,0,34,16,7,34,13,28,18,0,27,20,661
13,7,0,50,19,18,43,14,0,18,0,27,51,511
16,6,0,53,10,7,35,14,29,13,50,17,10,418
12,6,0,28,16,5,27,14,29,10,0,17,15,632
15,8,18,48,19,11,26,13,7,10,0,14,15,795
20,10,0,60,13,5,55,16,7,16,0,41,46,981
17,4,0,62,19,7,62,15,43,13,0,48,5,779
19,4,18,64,16,7,48,16,59,13,0,42,26,801
22,6,0,73,20,15,43,17,37,9,0,35,10,839
25,10,18,77,20,13,50,16,22,12,0,56,26,600
19,7,17,47,21,0,32,12,34,6,0,23,5,985
23,5,0,45,26,2,32,13,15,11,0,31,11,1270
22,7,18,69,33,7,48,13,29,11,0,59,10,1308
23,8,53,60,19,13,48,14,43,12,0,58,31,1586
23,9,0,66,19,5,51,13,22,9,0,65,5,1534
25,7,0,66,19,13,27,13,29,8,0,61,10,1331
24,10,0,55,35,5,22,11,43,5,0,20,25,965
23,7,0,50,29,11,22,11,29,6,0,68,25,1246
28,9,0,51,38,5,23,11,35,8,0,84,5,1355
29,7,18,77,45,9,45,12,51,10,0,65,16,1485
23,10,0,86,19,7,50,14,43,10,0,44,31,1605
31,8,0,99,52,9,60,13,29,10,0,83,31,1571
30,10,18,96,39,5,51,13,51,7,0,55,31,1441
31,6,0,100,23,9,47,13,22,7,0,80,32,838
30,8,18,67,27,15,28,14,15,6,52,46,27,697
30,6,0,78,30,7,26,12,44,5,0,67,11,979
30,9,36,93,29,16,36,12,22,8,0,96,36,1173
26,6,0,81,33,11,40,12,22,7,0,69,41,1356
23,5,18,76,42,11,43,13,7,7,0,100,31,1231
24,6,36,79,36,9,43,13,14,7,0,58,21,1017
22,5,0,75,29,9,43,13,15,5,0,48,26,647
22,7,18,54,30,11,22,12,37,4,0,49,16,916
22,7,18,49,13,7,22,11,15,3,0,31,10,1069
24,4,18,67,26,5,25,10,29,3,0,34,20,1178
21,8,0,80,9,7,43,10,21,5,0,64,35,1037
17,5,0,49,38,7,34,10,43,4,0,44,15,984
20,4,0,56,19,2,25,9,43,4,0,51,26,744
19,6,0,49,13,7,26,8,28,3,0,67,20,493
21,7,18,48,30,6,21,9,0,3,0,28,5,715
23,6,0,39,16,0,20,9,22,3,0,38,11,903
25,7,18,55,32,4,32,10,22,4,100,45,36,863
19,5,36,46,16,7,32,10,44,6,51,31,43,876
18,5,18,53,16,4,27,11,44,4,51,49,16,844
15,3,18,61,20,7,42,11,30,5,0,49,21,600
15,4,18,41,20,9,36,10,44,5,0,41,21,436
14,1,0,27,20,8,18,11,15,2,0,21,21,633
14,4,0,32,16,5,22,9,36,2,0,27,10,592
15,2,18,46,23,4,37,11,22,4,0,35,10,657
15,2,0,51,17,6,39,11,7,5,0,57,11,587
15,4,18,48,33,2,34,10,15,4,0,60,27,598
14,4,0,58,13,4,32,9,7,3,0,56,11,451
10,1,0,48,13,2,33,9,7,4,0,46,21,291
10,1,18,21,30,2,19,10,15,2,0,18,11,509
11,4,0,21,20,4,16,10,30,3,0,24,11,508
15,4,0,43,10,7,31,8,22,4,0,41,10,712
13,3,18,37,7,9,26,8,22,7,0,38,16,642
12,5,18,35,26,0,22,8,36,4,0,24,26,646
10,3,18,37,16,2,41,8,15,3,0,28,5,439
9,2,0,29,7,11,32,7,7,3,0,18,5,266
9,2,0,21,16,4,17,8,0,1,0,7,0,531
8,2,0,13,9,5,12,6,0,1,0,10,5,551
8,2,0,29,13,5,22,7,22,2,0,21,36,489
8,2,0,27,7,7,22,8,15,2,0,17,21,572
8,2,0,29,10,7,24,8,15,2,0,32,0,596
11,2,0,29,10,11,24,8,7,3,0,28,5,480
10,2,0,27,23,4,27,8,7,2,0,17,26,310
9,3,0,18,10,6,23,8,29,2,0,34,5,331
8,2,36,16,3,4,17,8,15,2,0,24,5,219
9,2,0,27,17,7,23,7,44,3,0,18,16,482
9,2,18,31,17,4,23,7,23,2,0,25,11,573
6,2,0,34,17,4,32,8,37,3,0,3,0,639
7,1,0,25,17,4,19,7,15,4,0,14,0,485
8,1,0,22,20,4,31,6,0,5,0,25,11,302
8,2,0,16,10,6,12,7,8,5,0,29,11,527
10,3,37,16,14,4,7,6,15,3,0,11,16,576
8,3,0,14,33,6,12,6,15,3,0,11,5,633
11,2,18,19,10,0,13,6,29,3,0,7,0,542
9,3,18,26,23,2,14,6,15,3,0,17,10,574
11,2,18,29,30,6,21,6,7,3,0,10,11,400
8,3,19,26,18,0,23,6,8,3,0,22,0,279
9,1,0,18,14,12,16,6,8,2,0,11,0,500
8,1,0,14,13,8,9,6,22,2,0,25,11,506
9,1,0,31,14,6,27,6,16,3,0,7,17,627
8,2,19,25,21,2,25,6,16,3,0,15,6,603
8,1,0,23,7,2,37,6,23,3,0,18,11,678
8,2,0,23,7,2,23,6,15,2,0,15,11,436
8,4,0,25,11,0,30,6,16,3,0,7,11,278
11,2,19,9,14,4,21,6,16,2,0,15,6,498
11,2,0,20,27,0,20,8,15,1,0,14,11,552
10,3,0,27,3,12,32,6,23,2,0,25,22,708
12,2,19,27,14,4,26,6,31,2,54,37,11,639
8,1,0,25,7,4,29,6,16,3,0,11,11,623
8,1,0,27,17,4,22,6,15,2,0,15,16,430
8,1,0,24,26,2,20,6,16,2,0,27,11,316
7,3,0,16,21,2,10,5,31,1,0,7,0,481
12,1,20,12,14,6,10,6,16,1,0,11,11,615
11.6,1,20,21.6,10.6666666666667,3.09090909090909,25.7142857142857,5.89473684210526,28,3,0,51.3333333333333,8.95714285714286,616
10,0.333333333333333,40,24,14,6,16.4285714285714,6.10526315789474,16,3,0,20.1666666666667,6.75714285714286,745
9.2,0.666666666666667,20,16,14,0,21.4285714285714,7.05263157894737,16,8.33333333333333,0,16.5,11.3142857142857,726
10.4,1.36666666666667,0,15.2,21.3333333333333,6.18181818181818,17.8571428571429,6.63157894736842,8,33.3333333333333,0,53.1666666666667,2.35714285714286,493
9.6,0.866666666666667,0,14.4,10.6666666666667,9.27272727272727,19.2857142857143,6.10526315789474,0,14,0,36.6666666666667,2.35714285714286,410
9.6,1.03333333333333,0,13.6,10.6666666666667,6.18181818181818,12.8571428571429,6.31578947368421,16,8,0,16.5,2.2,646
9.6,0.5,20.625,8.8,10.6666666666667,6.18181818181818,17.1428571428571,6.21052631578947,8,6,0,11,2.35714285714286,731
10.8,0.866666666666667,20.625,17.6,22,3.09090909090909,17.8571428571429,5.68421052631579,20,8.33333333333333,0,36.6666666666667,0,808
12.4,0.733333333333333,0,19.2,11.3333333333333,9.63636363636364,23.5714285714286,6.10526315789474,56,7.33333333333333,0,38.5,2.35714285714286,774
12,1.2,0,16,22,3.09090909090909,13.5714285714286,7.36842105263158,28,7.33333333333333,0,27.5,9.11428571428571,877
9.2,1.2,0,14.4,14.6666666666667,6.18181818181818,16.4285714285714,6.84210526315789,28,4,0,25.6666666666667,0,613
8.4,0.333333333333333,20.625,12,7.33333333333333,9.27272727272727,18.5714285714286,6.10526315789474,8,3.66666666666667,0,16.5,0,487
8.8,0.866666666666667,0,10.4,10.6666666666667,12.3636363636364,12.1428571428571,6.31578947368421,8,5,0,22,2.35714285714286,865
8,1.2,20.625,13.6,21.3333333333333,3.09090909090909,10,6.31578947368421,8,4.66666666666667,0,51.3333333333333,2.2,624
12.4,1,40,20,21.3333333333333,3.09090909090909,22.8571428571429,5.78947368421053,8,5,0,20.1666666666667,4.55714285714286,1048
7.6,0.866666666666667,0,17.6,25.3333333333333,6.18181818181818,24.2857142857143,6,44,4.33333333333333,0,27.5,2.35714285714286,1143
10.4,1.4,20.625,16,10.6666666666667,9.45454545454546,18.5714285714286,6.31578947368421,8,4.33333333333333,0,31.1666666666667,0,1333
10,0.333333333333333,41.25,14.4,7.33333333333333,9.27272727272727,15.7142857142857,6.31578947368421,36,3,0,31.1666666666667,2.35714285714286,950
9.6,1.23333333333333,0,16.8,26,3.09090909090909,19.2857142857143,5.78947368421053,20,3,0,27.5,0,780
10,0.533333333333333,0,10.4,11.3333333333333,0,14.2857142857143,6.42105263157895,20,2.66666666666667,0,27.5,0,1283
13.2,1.7,0,6.4,18,0,15,5.68421052631579,28,3,0,14.6666666666667,0,1544
12.4,0.833333333333333,0,23.2,24.6666666666667,3.09090909090909,27.1428571428571,5.68421052631579,8,1.66666666666667,0,56.8333333333333,4.4,1659
9.6,1.16666666666667,0,16.8,3.33333333333333,2.90909090909091,16.4285714285714,5.57894736842105,0,3,0,25.6666666666667,2.2,1704
11.2,1.23333333333333,20.625,16.8,14.6666666666667,9.45454545454546,18.5714285714286,5.57894736842105,8,3.33333333333333,4,27.5,4.4,1735
10,0.5,0,20.8,7.33333333333333,6.18181818181818,19.2857142857143,6.21052631578947,8,5,0,20.1666666666667,0,1439
13.2,0.866666666666667,0,10.4,28.6666666666667,6.18181818181818,22.8571428571429,5.47368421052632,16,2.66666666666667,0,42.1666666666667,4.55714285714286,950
10.4,0.5,39.375,12.8,14,0,15.7142857142857,5.36842105263158,0,2.66666666666667,0,31.1666666666667,4.4,1700
11.6,1.16666666666667,19.375,14.4,6.66666666666667,0,11.4285714285714,6,36,2.33333333333333,0,31.1666666666667,0,2194
14.4,1.73333333333333,0,24,18,3.09090909090909,27.1428571428571,5.68421052631579,56,4.33333333333333,0,47.6666666666667,4.55714285714286,2385
13.2,1.73333333333333,0,29.6,4,6.18181818181818,17.8571428571429,6.10526315789474,56,3.66666666666667,0,75.1666666666667,2.35714285714286,2421
15.6,1.36666666666667,20.625,24,32.6666666666667,3.09090909090909,24.2857142857143,6.63157894736842,44,2.66666666666667,0,47.6666666666667,2.35714285714286,2592
18,1.76666666666667,0,33.6,14.6666666666667,12.7272727272727,25,7.26315789473684,28,3,0,77,9.42857142857143,2159
21.2,1.73333333333333,20.625,31.2,25.3333333333333,6.18181818181818,24.2857142857143,6.10526315789474,36,2.66666666666667,0,80.6666666666667,6.91428571428571,1518
16,0.866666666666667,0,16,21.3333333333333,6.18181818181818,15.7142857142857,6,16,2,0,36.6666666666667,6.91428571428571,1229
18.4,1,0,20.8,18,3.09090909090909,15,6.52631578947368,44,2.66666666666667,0,36.6666666666667,0,1942
16.8,1.16666666666667,40,35.2,28.6666666666667,6,28.5714285714286,6.21052631578947,0,2.66666666666667,0,62.3333333333333,13.5142857142857,2500
19.6,1.16666666666667,0,32,24.6666666666667,6,31.4285714285714,6.52631578947368,28,3.33333333333333,0,67.8333333333333,11.3142857142857,2531
23.2,2.36666666666667,20,40.8,21.3333333333333,9.09090909090909,27.8571428571429,7.15789473684211,52,4.66666666666667,0,58.6666666666667,9.11428571428571,2675
25.2,1.7,0,49.6,21.3333333333333,12.1818181818182,27.8571428571429,7.78947368421053,52,3,0,93.5,6.75714285714286,2062
21.2,2.86666666666667,0,40,46,12,20,6.94736842105263,16,3.33333333333333,0,99,4.4,1436
18.4,1.53333333333333,0,26.4,42.6666666666667,9.09090909090909,19.2857142857143,6.63157894736842,28,2.33333333333333,0,73.3333333333333,6.91428571428571,2033
22.4,1.33333333333333,20,22.4,28,6,12.8571428571429,7.26315789473684,28,2.66666666666667,0,40.3333333333333,0,2432
24.4,1.86666666666667,40,26.4,28.6666666666667,9.09090909090909,18.5714285714286,6.63157894736842,8,2.33333333333333,0,73.3333333333333,4.4,2517
17.6,1.56666666666667,20.625,44.8,22,9.27272727272727,32.1428571428571,5.57894736842105,36,3,0,91.6666666666667,13.9857142857143,2452
20,0.866666666666667,20.625,33.6,22,9.27272727272727,27.8571428571429,7.05263157894737,36,4.66666666666667,0,67.8333333333333,9.27142857142857,2508
21.6,0.366666666666667,0,36,18.6666666666667,6.36363636363636,32.1428571428571,7.26315789473684,44,4.33333333333333,0,58.6666666666667,4.71428571428571,2038
22.4,0.866666666666667,0,39.2,22,6.36363636363636,35.7142857142857,6.73684210526316,28,4.66666666666667,0,86.1666666666667,7.07142857142857,1531
20.4,1.03333333333333,0,25.6,7.33333333333333,3.09090909090909,14.2857142857143,6.84210526315789,16,2.66666666666667,0,53.1666666666667,9.11428571428571,2176
22,1.16666666666667,0,26.4,24.6666666666667,12.1818181818182,13.5714285714286,6.52631578947368,52,4,0,51.3333333333333,6.75714285714286,2810
21.6,1.9,0,41.6,25.3333333333333,3.09090909090909,27.1428571428571,5.78947368421053,28,6,0,64.1666666666667,11.4714285714286,2969
18.8,1.4,20.625,39.2,22,3.09090909090909,32.1428571428571,7.15789473684211,8,4.66666666666667,0,80.6666666666667,7.07142857142857,2795
17.6,1.2,0,41.6,10.6666666666667,3.09090909090909,71.4285714285714,7.68421052631579,44,4.66666666666667,0,78.8333333333333,6.91428571428571,3037
17.2,1.2,0,31.2,36,3.09090909090909,36.4285714285714,6.63157894736842,72,4,0,95.3333333333333,0,2383
16.8,0.533333333333333,20.625,53.6,7.33333333333333,0,41.4285714285714,6,8,10,0,69.6666666666667,9.27142857142857,1681
14.8,0.533333333333333,20.625,33.6,22,9.27272727272727,30,6.31578947368421,36,7,0,58.6666666666667,0,2426
20.8,1.36666666666667,20.625,35.2,25.3333333333333,9.27272727272727,22.1428571428571,6.21052631578947,20,6.33333333333333,0,51.3333333333333,0,2996
