k1,k2,k4,k7,k8,k9,k11,k12,k13,num
3,8,0,14,2,0,0,0,0,1
1,1,0,18,1,8,0,0,0,0
1,1,0,10,1,0,0,0,0,0
1,1,0,12,2,0,0,0,0,0
1,2,0,16,1,0,0,0,0,0
3,7,0,16,2,0,0,0,0,0
3,6,1,15,3,15,0,0,0,0
3,10,0,17,3,0,0,0,0,0
7,20,0,17,4,8,0,0,0,1
7,18,0,13,4,23,0,0,0,1
14,27,0,13,4,37,0,0,0,1
15,41,1,20,5,44,0,0,0,0
27,59,2,25,7,60,0,0,0,3
24,46,1,23,13,92,0,4,0,1
28,51,4,16,19,100,0,0,0,6
19,43,3,21,20,15,0,0,0,3
19,36,3,13,17,39,0,0,0,3
15,29,2,14,15,15,0,0,0,0
14,29,1,22,17,43,0,0,0,0
14,23,4,22,14,8,0,4,0,3
16,28,4,27,15,24,0,7,0,2
11,17,4,23,12,39,0,4,0,0
27,56,3,19,11,0,0,0,0,0
23,65,2,17,11,0,0,0,0,1
17,39,3,12,9,31,0,0,0,0
17,33,4,19,9,23,0,0,0,0
15,32,10,19,9,0,0,0,26,2
19,36,8,13,8,7,0,4,21,1
36,79,16,17,8,30,0,0,32,4
36,72,9,21,8,8,0,0,32,8
29,47,4,16,8,38,0,7,38,12
23,46,4,13,8,15,0,14,10,6
25,44,6,31,11,30,0,4,48,7
23,30,5,22,12,30,0,0,27,8
23,33,6,17,12,15,0,0,27,10
29,42,8,25,13,30,0,11,27,10
37,57,8,38,14,53,0,7,38,15
37,67,10,21,13,52,0,7,16,26
39,64,11,13,13,30,0,7,16,12
50,78,15,17,17,44,0,10,42,13
58,80,27,27,21,37,0,24,10,11
59,84,30,27,25,37,0,17,36,18
66,87,23,25,28,22,0,11,43,25
64,91,27,26,30,61,0,33,32,19
65,81,27,16,26,30,0,4,53,9
58,64,12,14,23,30,0,25,47,14
51,55,22,14,20,44,0,31,31,18
46,55,15,25,22,15,0,21,36,19
44,51,20,11,23,14,0,27,15,36
41,43,20,16,26,57,0,13,87,32
39,42,21,14,23,7,0,21,21,56
38,42,15,14,23,22,0,14,16,44
42,55,10,10,20,21,49,20,15,33
39,51,19,44,21,14,0,56,55,28
33,42,15,20,23,34,0,36,24,59
27,39,19,23,22,36,0,24,15,53
34,48,17,20,21,21,0,20,41,56
35,44,12,24,20,7,0,27,35,34
30,40,13,11,22,37,51,14,36,63
31,38,15,14,24,37,0,14,16,31
29,33,19,17,21,35,0,17,40,17
26,34,20,19,21,22,0,17,77,45
22,31,16,23,20,29,0,10,41,41
26,37,12,18,19,7,0,10,46,40
21,30,10,13,18,7,0,14,21,54
22,30,6,16,17,30,0,7,52,39
28,37,10,17,16,7,50,0,46,48
25,37,16,14,18,14,0,3,79,39
31,38,13,25,27,7,0,10,67,72
45,49,15,19,24,44,0,34,69,96
62,63,26,21,24,15,0,21,79,93
63,63,21,35,27,77,0,33,61,123
54,63,20,33,26,87,0,24,46,202
58,62,19,22,25,36,0,20,66,173
100,100,34,21,27,97,0,62,75,93
90,81,26,34,32,77,0,36,50,241
93,88,43,39,42,42,0,66,55,268
89,85,47,38,51,42,0,43,60,279
80,74,50,37,46,84,0,56,69,357
90,78,32,47,48,93,0,61,81,369
78,85,34,57,46,35,0,46,75,359
87,77,62,39,44,48,0,74,92,244
80,70,43,46,47,27,47,58,100,368
76,72,55,37,44,76,0,39,88,527
79,64,59,36,45,41,0,98,78,578
77,45,44,79,45,48,0,55,64,644
74,43,37,61,44,27,0,42,45,720
77,41,58,54,41,61,0,57,48,507
67,33,57,45,38,33,0,56,67,303
62,31,50,36,39,96,0,91,39,480
68,27,59,37,40,40,0,48,34,549
58,22,84,35,40,52,0,52,42,576
53,21,65,37,38,45,0,40,42,560
43,25,39,50,39,52,0,15,23,588
50,36,44,37,39,67,0,54,61,376
49,30,52,86,68,32,44,36,54,346
43,25,45,76,100,45,0,30,65,390
44,27,52,75,59,33,0,53,38,441
49,29,56,83,48,75,0,48,36,435
44,26,45,100,40,47,0,47,33,441
42,17,35,64,35,61,0,19,29,382
38,16,49,57,47,46,0,22,38,220
34,12,62,49,88,38,0,24,41,174
29,17,56,48,44,19,0,37,37,282
36,13,40,31,35,13,0,9,42,223
33,15,51,53,29,60,0,14,38,201
22,11,35,59,28,19,0,12,41,266
20,12,41,57,25,39,0,9,5,300
17,8,34,98,32,46,0,22,33,203
18,9,43,51,24,25,0,9,9,176
22,10,45,49,21,67,0,6,44,120
17,9,48,39,22,18,0,17,17,104
19,10,49,54,23,32,0,6,46,96
17,7,59,51,22,19,0,6,23,88
16,8,29,50,20,26,0,12,5,114
16,6,50,40,19,20,0,3,42,69
12,8,40,52,22,19,44,18,42,45
12,7,39,49,24,26,0,12,42,80
12,5,32,73,22,7,0,25,33,55
12,5,30,47,22,19,0,15,60,100
12,5,23,72,20,19,0,15,55,50
8,5,19,46,18,39,0,3,9,57
10,5,19,36,20,13,0,3,33,26
8,5,21,46,19,26,0,9,32,31
7,4,17,44,18,45,0,3,23,27
8,3,17,33,18,20,0,0,24,38
7,3,17,52,18,40,0,9,43,38
7,2,13,53,19,53,0,9,19,25
6,3,9,24,18,20,0,0,19,26
7,5,16,24,18,13,46,6,14,42
5,4,16,43,17,19,0,6,37,21
5,4,16,44,18,26,0,3,28,29
6,2,15,42,21,40,0,13,14,35
8,4,13,46,26,40,0,0,24,63
7,6,22,46,24,20,0,19,19,73
7,3,14,26,20,41,0,3,5,45
9,7,10,28,18,13,0,3,24,35
9,3,22,57,17,14,0,19,19,37
12,7,27,46,19,27,0,13,15,51
11,6,24,77,22,46,0,9,10,30
8,5,26,71,22,27,0,13,9,47
8,5,18,36,21,27,0,0,43,44
6,3,12,24,19,7,0,6,25,46
9,3,18,37,18,41,0,7,15,38
8,4,27,46,19,20,0,10,38,21
8,3,17,51,20,13,0,3,14,45
9,4,11,59,20,20,0,10,20,38
7,5,20,56,17,27,0,6,10,42
5,3,14,34,17,48,0,3,29,61
4,3,5,31,16,20,0,10,15,45
9,3,14,31,15,7,0,3,25,75
10,2,19,51,26,7,0,3,25,72
6,4,16,94,23,14,0,3,10,44
5,4,18,60,20,14,0,10,15,46
6,3,14,60,33,14,0,3,20,70
4,4,13,46,63,0,0,10,25,58
5,3,9,31,23,0,0,17,10,64
5,5,9,23,18,14,0,10,20,55
7,2,14,40,19,7,0,7,35,43
10,3,16,32,18,14,0,13,25,57
9,5,17,49,16,42,48,17,25,96
9,5,14,37,16,0,0,7,0,82
8,1,17,43,17,29,0,17,25,105
9,2,11,27,15,21,0,10,5,92
9,3,13,24,15,27,0,13,19,113
9,4,25,31,16,21,0,17,10,110
8,5,16,38,16,14,0,17,10,138
10,6,20,34,17,7,0,10,10,127
12,6,36,36,21,28,0,3,0,194
11,6,35,39,17,21,0,23,25,250
11,5,24,35,15,35,0,13,10,274
12,7,27,23,14,21,0,23,15,208
12,7,31,38,13,27,0,29,43,176
10,4,34,36,13,0,0,10,14,208
9,3,34,34,13,28,0,27,20,207
13,7,50,43,14,0,0,27,51,355
16,6,53,35,14,29,50,17,10,430
12,6,28,27,14,29,0,17,15,386
15,8,48,26,13,7,0,14,15,407
20,10,60,55,16,7,0,41,46,259
17,4,62,62,15,43,0,48,5,333
19,4,64,48,16,59,0,42,26,450
22,6,73,43,17,37,0,35,10,624
25,10,77,50,16,22,0,56,26,597
19,7,47,32,12,34,0,23,5,661
23,5,45,32,13,15,0,31,11,511
22,7,69,48,13,29,0,59,10,418
23,8,60,48,14,43,0,58,31,632
23,9,66,51,13,22,0,65,5,795
25,7,66,27,13,29,0,61,10,981
24,10,55,22,11,43,0,20,25,779
23,7,50,22,11,29,0,68,25,801
28,9,51,23,11,35,0,84,5,839
29,7,77,45,12,51,0,65,16,600
23,10,86,50,14,43,0,44,31,985
31,8,99,60,13,29,0,83,31,1270
30,10,96,51,13,51,0,55,31,1308
31,6,100,47,13,22,0,80,32,1586
30,8,67,28,14,15,52,46,27,1534
30,6,78,26,12,44,0,67,11,1331
30,9,93,36,12,22,0,96,36,965
26,6,81,40,12,22,0,69,41,1246
23,5,76,43,13,7,0,100,31,1355
24,6,79,43,13,14,0,58,21,1485
22,5,75,43,13,15,0,48,26,1605
22,7,54,22,12,37,0,49,16,1571
22,7,49,22,11,15,0,31,10,1441
24,4,67,25,10,29,0,34,20,838
21,8,80,43,10,21,0,64,35,697
17,5,49,34,10,43,0,44,15,979
20,4,56,25,9,43,0,51,26,1173
19,6,49,26,8,28,0,67,20,1356
21,7,48,21,9,0,0,28,5,1231
23,6,39,20,9,22,0,38,11,1017
25,7,55,32,10,22,100,45,36,647
19,5,46,32,10,44,51,31,43,916
18,5,53,27,11,44,51,49,16,1069
15,3,61,42,11,30,0,49,21,1178
15,4,41,36,10,44,0,41,21,1037
14,1,27,18,11,15,0,21,21,984
14,4,32,22,9,36,0,27,10,744
15,2,46,37,11,22,0,35,10,493
15,2,51,39,11,7,0,57,11,715
15,4,48,34,10,15,0,60,27,903
14,4,58,32,9,7,0,56,11,863
10,1,48,33,9,7,0,46,21,876
10,1,21,19,10,15,0,18,11,844
11,4,21,16,10,30,0,24,11,600
15,4,43,31,8,22,0,41,10,436
13,3,37,26,8,22,0,38,16,633
12,5,35,22,8,36,0,24,26,592
10,3,37,41,8,15,0,28,5,657
9,2,29,32,7,7,0,18,5,587
9,2,21,17,8,0,0,7,0,598
8,2,13,12,6,0,0,10,5,451
8,2,29,22,7,22,0,21,36,291
8,2,27,22,8,15,0,17,21,509
8,2,29,24,8,15,0,32,0,508
11,2,29,24,8,7,0,28,5,712
10,2,27,27,8,7,0,17,26,642
9,3,18,23,8,29,0,34,5,646
8,2,16,17,8,15,0,24,5,439
9,2,27,23,7,44,0,18,16,266
9,2,31,23,7,23,0,25,11,531
6,2,34,32,8,37,0,3,0,551
7,1,25,19,7,15,0,14,0,489
8,1,22,31,6,0,0,25,11,572
8,2,16,12,7,8,0,29,11,596
10,3,16,7,6,15,0,11,16,480
8,3,14,12,6,15,0,11,5,310
11,2,19,13,6,29,0,7,0,331
9,3,26,14,6,15,0,17,10,219
11,2,29,21,6,7,0,10,11,482
8,3,26,23,6,8,0,22,0,573
9,1,18,16,6,8,0,11,0,639
8,1,14,9,6,22,0,25,11,485
9,1,31,27,6,16,0,7,17,302
8,2,25,25,6,16,0,15,6,527
8,1,23,37,6,23,0,18,11,576
8,2,23,23,6,15,0,15,11,633
8,4,25,30,6,16,0,7,11,542
11,2,9,21,6,16,0,15,6,574
11,2,20,20,8,15,0,14,11,400
10,3,27,32,6,23,0,25,22,279
12,2,27,26,6,31,54,37,11,500
8,1,25,29,6,16,0,11,11,506
8,1,27,22,6,15,0,15,16,627
8,1,24,20,6,16,0,27,11,603
7,3,16,10,5,31,0,7,0,678
12,1,12,10,6,16,0,11,11,436
11.6,1,21.6,25.7142857142857,5.89473684210526,28,0,51.3333333333333,8.95714285714286,278
10,0.333333333333333,24,16.4285714285714,6.10526315789474,16,0,20.1666666666667,6.75714285714286,498
9.2,0.666666666666667,16,21.4285714285714,7.05263157894737,16,0,16.5,11.3142857142857,552
10.4,1.36666666666667,15.2,17.8571428571429,6.63157894736842,8,0,53.1666666666667,2.35714285714286,708
9.6,0.866666666666667,14.4,19.2857142857143,6.10526315789474,0,0,36.6666666666667,2.35714285714286,639
9.6,1.03333333333333,13.6,12.8571428571429,6.31578947368421,16,0,16.5,2.2,623
9.6,0.5,8.8,17.1428571428571,6.21052631578947,8,0,11,2.35714285714286,430
10.8,0.866666666666667,17.6,17.8571428571429,5.68421052631579,20,0,36.6666666666667,0,316
12.4,0.733333333333333,19.2,23.5714285714286,6.10526315789474,56,0,38.5,2.35714285714286,481
12,1.2,16,13.5714285714286,7.36842105263158,28,0,27.5,9.11428571428571,615
9.2,1.2,14.4,16.4285714285714,6.84210526315789,28,0,25.6666666666667,0,616
8.4,0.333333333333333,12,18.5714285714286,6.10526315789474,8,0,16.5,0,745
8.8,0.866666666666667,10.4,12.1428571428571,6.31578947368421,8,0,22,2.35714285714286,726
8,1.2,13.6,10,6.31578947368421,8,0,51.3333333333333,2.2,493
12.4,1,20,22.8571428571429,5.78947368421053,8,0,20.1666666666667,4.55714285714286,410
7.6,0.866666666666667,17.6,24.2857142857143,6,44,0,27.5,2.35714285714286,646
10.4,1.4,16,18.5714285714286,6.31578947368421,8,0,31.1666666666667,0,731
10,0.333333333333333,14.4,15.7142857142857,6.31578947368421,36,0,31.1666666666667,2.35714285714286,808
9.6,1.23333333333333,16.8,19.2857142857143,5.78947368421053,20,0,27.5,0,774
10,0.533333333333333,10.4,14.2857142857143,6.42105263157895,20,0,27.5,0,877
13.2,1.7,6.4,15,5.68421052631579,28,0,14.6666666666667,0,613
12.4,0.833333333333333,23.2,27.1428571428571,5.68421052631579,8,0,56.8333333333333,4.4,487
9.6,1.16666666666667,16.8,16.4285714285714,5.57894736842105,0,0,25.6666666666667,2.2,865
11.2,1.23333333333333,16.8,18.5714285714286,5.57894736842105,8,4,27.5,4.4,624
10,0.5,20.8,19.2857142857143,6.21052631578947,8,0,20.1666666666667,0,1048
13.2,0.866666666666667,10.4,22.8571428571429,5.47368421052632,16,0,42.1666666666667,4.55714285714286,1143
10.4,0.5,12.8,15.7142857142857,5.36842105263158,0,0,31.1666666666667,4.4,1333
11.6,1.16666666666667,14.4,11.4285714285714,6,36,0,31.1666666666667,0,950
14.4,1.73333333333333,24,27.1428571428571,5.68421052631579,56,0,47.6666666666667,4.55714285714286,780
13.2,1.73333333333333,29.6,17.8571428571429,6.10526315789474,56,0,75.1666666666667,2.35714285714286,1283
15.6,1.36666666666667,24,24.2857142857143,6.63157894736842,44,0,47.6666666666667,2.35714285714286,1544
18,1.76666666666667,33.6,25,7.26315789473684,28,0,77,9.42857142857143,1659
21.2,1.73333333333333,31.2,24.2857142857143,6.10526315789474,36,0,80.6666666666667,6.91428571428571,1704
16,0.866666666666667,16,15.7142857142857,6,16,0,36.6666666666667,6.91428571428571,1735
18.4,1,20.8,15,6.52631578947368,44,0,36.6666666666667,0,1439
16.8,1.16666666666667,35.2,28.5714285714286,6.21052631578947,0,0,62.3333333333333,13.5142857142857,950
19.6,1.16666666666667,32,31.4285714285714,6.52631578947368,28,0,67.8333333333333,11.3142857142857,1700
23.2,2.36666666666667,40.8,27.8571428571429,7.15789473684211,52,0,58.6666666666667,9.11428571428571,2194
25.2,1.7,49.6,27.8571428571429,7.78947368421053,52,0,93.5,6.75714285714286,2385
21.2,2.86666666666667,40,20,6.94736842105263,16,0,99,4.4,2421
18.4,1.53333333333333,26.4,19.2857142857143,6.63157894736842,28,0,73.3333333333333,6.91428571428571,2592
22.4,1.33333333333333,22.4,12.8571428571429,7.26315789473684,28,0,40.3333333333333,0,2159
24.4,1.86666666666667,26.4,18.5714285714286,6.63157894736842,8,0,73.3333333333333,4.4,1518
17.6,1.56666666666667,44.8,32.1428571428571,5.57894736842105,36,0,91.6666666666667,13.9857142857143,1229
20,0.866666666666667,33.6,27.8571428571429,7.05263157894737,36,0,67.8333333333333,9.27142857142857,1942
21.6,0.366666666666667,36,32.1428571428571,7.26315789473684,44,0,58.6666666666667,4.71428571428571,2500
22.4,0.866666666666667,39.2,35.7142857142857,6.73684210526316,28,0,86.1666666666667,7.07142857142857,2531
20.4,1.03333333333333,25.6,14.2857142857143,6.84210526315789,16,0,53.1666666666667,9.11428571428571,2675
22,1.16666666666667,26.4,13.5714285714286,6.52631578947368,52,0,51.3333333333333,6.75714285714286,2062
21.6,1.9,41.6,27.1428571428571,5.78947368421053,28,0,64.1666666666667,11.4714285714286,1436
18.8,1.4,39.2,32.1428571428571,7.15789473684211,8,0,80.6666666666667,7.07142857142857,2033
17.6,1.2,41.6,71.4285714285714,7.68421052631579,44,0,78.8333333333333,6.91428571428571,2432
17.2,1.2,31.2,36.4285714285714,6.63157894736842,72,0,95.3333333333333,0,2517
16.8,0.533333333333333,53.6,41.4285714285714,6,8,0,69.6666666666667,9.27142857142857,2452
14.8,0.533333333333333,33.6,30,6.31578947368421,36,0,58.6666666666667,0,2508
20.8,1.36666666666667,35.2,22.1428571428571,6.21052631578947,20,0,51.3333333333333,0,2038
18.8,2.93333333333333,53.6,30.7142857142857,5.57894736842105,28,0,64.1666666666667,0,1531
18.4,0.166666666666667,52,33.5714285714286,6,72,0,89.8333333333333,2.35714285714286,2176
15.2,1.86666666666667,56,42.1428571428571,6.42105263157895,52,0,110,4.55714285714286,2810
24.4,1.36666666666667,76.8,30.7142857142857,6.52631578947368,44,0,88,4.55714285714286,2969
18.4,0.366666666666667,56.8,37.1428571428571,5.78947368421053,20,0,100.833333333333,7.07142857142857,2795
20.8,1.73333333333333,42.4,26.4285714285714,6.10526315789474,72,0,53.1666666666667,6.75714285714286,3037
23.2,1.2,44.8,25.7142857142857,6.10526315789474,44,0,51.3333333333333,4.4,2383
20.8,2,59.2,24.2857142857143,6.63157894736842,60,0,139.333333333333,2.2,1681
18.8,1.03333333333333,53.6,40,6.94736842105263,72,0,69.6666666666667,6.91428571428571,2426
15.2,1.93333333333333,57.6,25.7142857142857,7.26315789473684,56,0,66,4.71428571428571,2996
21.2,1.73333333333333,65.6,35,7.15789473684211,92,4,53.1666666666667,7.07142857142857,3209
21.2,0.866666666666667,51.2,31.4285714285714,6,64,0,80.6666666666667,9.42857142857143,2837
16,1.6,42.4,15.7142857142857,6.52631578947368,36,0,69.6666666666667,0,2989
22.8,2.06666666666667,48,20,5.78947368421053,44,0,53.1666666666667,2.35714285714286,2491
23.2,1.73333333333333,67.2,25.7142857142857,5.89473684210526,64,20,111.833333333333,0,1811
28,1.56666666666667,65.6,42.1428571428571,5.89473684210526,20,0,128.333333333333,7.07142857142857,2695
21.2,2.1,63.2,35.7142857142857,5.89473684210526,8,8,113.666666666667,0,3276
24.4,1.73333333333333,65.6,22.1428571428571,5.26315789473684,100,4,139.333333333333,11.4714285714286,3746
22,1.56666666666667,51.2,22.1428571428571,4.94736842105263,28,4,49.5,2.35714285714286,3832
26,2.66666666666667,44,17.1428571428571,5.36842105263158,36,0,115.5,4.71428571428571,3885
24.4,1.46666666666667,48,18.5714285714286,4.94736842105263,24,4,75.1666666666667,6.44285714285714,2944
26.8,2.56666666666667,58.4,27.1428571428571,4.52631578947368,44,16,121,6.91428571428571,2409
24.4,1.16666666666667,45.6,25.7142857142857,4.73684210526316,28,0,84.3333333333333,4.55714285714286,3615
24.8,1.16666666666667,34.4,15.7142857142857,4.21052631578947,44,8,82.5,8.95714285714286,3871
19.2,0.8,28.8,14.2857142857143,3.57894736842105,8,4,66,8.8,4532
26.8,1.2,28,11.4285714285714,3.57894736842105,44,4,58.6666666666667,2.35714285714286,3256
26,1.83333333333333,31.2,16.4285714285714,4.42105263157895,28,0,42.1666666666667,8.8,3071
25.6,1.63333333333333,30.4,12.8571428571429,4.42105263157895,16,0,115.5,4.24285714285714,3166
31.6,2.5,53.6,31.4285714285714,4.63157894736842,68,0,110,8.64285714285714,3343
36.4,2.26666666666667,59.2,28.5714285714286,5.15789473684211,60,0,141.166666666667,10.8428571428571,4949
40,1.3,69.6,26.4285714285714,5.89473684210526,52,0,183.333333333333,4.4,6049
34.4,3.33333333333333,65.6,27.1428571428571,6.21052631578947,84,0,133.833333333333,6.28571428571429,7642
28.8,2,74.4,37.8571428571429,6.42105263157895,120,4,157.666666666667,4.4,7957
28.8,1.33333333333333,49.6,30,6.21052631578947,52,0,139.333333333333,8.8,7854
24.8,1.96666666666667,39.2,28.5714285714286,5.89473684210526,68,8,80.6666666666667,10.8428571428571,6108
26.8,1.96666666666667,60,23.5714285714286,6.42105263157895,52,8,93.5,4.24285714285714,4906
30.4,1.83333333333333,80,38.5714285714286,6.42105263157895,88,8,176,6.75714285714286,4597
23.6,1.53333333333333,76,38.5714285714286,8.63157894736842,100,0,115.5,6.75714285714286,5916
27.2,2.7,76.8,43.5714285714286,8.10526315789474,80,0,172.333333333333,0,6656
24.4,2.16666666666667,71.2,40.7142857142857,8.94736842105263,88,0,128.333333333333,15.7142857142857,7172
22.4,1.16666666666667,56,22.1428571428571,9.26315789473684,44,0,115.5,4.4,7042
24,0.966666666666667,49.6,25,8.21052631578947,76,0,113.666666666667,4.24285714285714,5760
23.6,1.83333333333333,71.2,33.5714285714286,9.47368421052632,232,23,177.833333333333,2.2,4936
20.8,1,64.8,32.8571428571429,10.5263157894737,132,16,88,6.75714285714286,5335
20.8,1,60,38.5714285714286,10.5263157894737,148,0,133.833333333333,11,5562
18,1.2,47.2,31.4285714285714,10,140,4,93.5,9.11428571428571,5664
18.8,1.86666666666667,42.4,33.5714285714286,8.8421052631579,104,16,122.833333333333,8.95714285714286,5057
18.4,1.13333333333333,28.8,16.4285714285714,7.15789473684211,68,4,78.8333333333333,6.44285714285714,4726
18.4,1.43333333333333,29.6,37.1428571428571,8.21052631578947,132,4,58.6666666666667,0,3990
20.8,1.5,48,46.4285714285714,7.15789473684211,148,8,62.3333333333333,6.75714285714286,2763
17.2,1.3,49.6,30.7142857142857,9.26315789473684,112,4,75.1666666666667,2.2,3853
16,1,44.8,31.4285714285714,6.63157894736842,148,4,77,2.2,3974
17.2,1.3,39.2,41.4285714285714,7.57894736842105,136,0,86.1666666666667,8.95714285714286,4131
14.8,1.53333333333333,42.4,25.7142857142857,6.84210526315789,116,8,58.6666666666667,0,3538
12.4,0.666666666666667,27.2,23.5714285714286,6,96,8,40.3333333333333,0,3342
16.8,1.46666666666667,32,20.7142857142857,6.31578947368421,52,4,69.6666666666667,2.2,2673
15.6,1.3,38.4,29.2857142857143,5.78947368421053,104,4,80.6666666666667,0,1793
13.6,0.833333333333333,48,27.1428571428571,5.89473684210526,96,0,51.3333333333333,4.4,2324
14.4,0.866666666666667,35.2,27.8571428571429,7.78947368421053,124,4,47.6666666666667,4.55714285714286,2634
9.2,1,40.8,36.4285714285714,7.26315789473684,96,16,62.3333333333333,6.91428571428571,2578
13.2,0.833333333333333,35.2,57.8571428571429,6,124,12,47.6666666666667,9.11428571428571,2370
11.6,0.666666666666667,24,28.5714285714286,5.89473684210526,120,12,55,6.44285714285714,2277
13.6,0.666666666666667,23.2,20.7142857142857,5.68421052631579,84,11,75.1666666666667,4.4,1630
16,0.333333333333333,36,35,5.89473684210526,88,20,45.8333333333333,11.3142857142857,1217
12.8,0.666666666666667,31.2,32.8571428571429,5.78947368421053,108,28,20.1666666666667,6.75714285714286,1568
11.6,0.666666666666667,32,21.4285714285714,6,88,20,25.6666666666667,4.55714285714286,1886
13.6,1.8,20.8,14.2857142857143,6.52631578947368,104,11,25.6666666666667,2.2,1690
9.2,0.833333333333333,24,26.4285714285714,5.78947368421053,148,0,25.6666666666667,6.75714285714286,1300
8.4,0,17.6,17.8571428571429,5.36842105263158,120,8,49.5,2.2,1360
13.2,1.3,14.4,15,4.73684210526316,76,4,14.6666666666667,4.24285714285714,1362
10,0.966666666666667,24,21.4285714285714,5.15789473684211,156,11,34.8333333333333,0,965
7.6,0.333333333333333,26.4,22.8571428571429,4.94736842105263,124,12,14.6666666666667,2.2,1308
10.4,1.2,25.6,31.4285714285714,5.89473684210526,292,8,25.6666666666667,2.2,1448
11.6,0.866666666666667,24.8,29.2857142857143,5.36842105263158,188,8,36.6666666666667,2.2,1536
